,time_counter,fco2
0,Jan,-58.75009273198293
1,Feb,-57.28068711169169
2,Mar,-58.61356647943671
3,Apr,-64.1239352458482
4,May,-66.73794779675654
5,Jun,-77.39541337326125
6,Jul,-81.59568296003204
7,Aug,-81.38354981147904
8,Sep,-74.15017507002403
9,Oct,-66.79460115476434
10,Nov,-62.93120669773805
11,Dec,-60.678049120981086
