,time_counter,fco2
0,Jan,-396.61846631830633
1,Feb,-361.80489959585987
2,Mar,-369.5361965337197
3,Apr,-405.26124146561295
4,May,-453.1664026035413
5,Jun,-509.3302364822114
6,Jul,-534.152931911487
7,Aug,-528.3014217962974
8,Sep,-473.3872672353399
9,Oct,-440.8521746948775
10,Nov,-450.2334391194404
11,Dec,-424.9293913296963
