,time_counter,fco2
0,Jan,747.8720061187325
1,Feb,747.2249899206292
2,Mar,746.3500729042577
3,Apr,744.3731035833358
4,May,749.6656509549314
5,Jun,787.3069270133684
6,Jul,817.1895110014357
7,Aug,815.2266487479575
8,Sep,793.4303827540423
9,Oct,771.829969527266
10,Nov,758.8592002515126
11,Dec,754.4289370500646
