,time_counter,fco2
0,Jan,125.40400856630876
1,Feb,131.64614164755793
2,Mar,139.13079528888375
3,Apr,147.23887758602118
4,May,157.57290059358223
5,Jun,165.4325095756796
6,Jul,165.6197850337897
7,Aug,160.19940812377405
8,Sep,154.8365599083242
9,Oct,126.23878543801872
10,Nov,114.92296586598562
11,Dec,117.2620024832009
