,time_counter,fco2
0,Jan,718.9151151413088
1,Feb,726.6635929022052
2,Mar,745.1473532557198
3,Apr,786.930172555433
4,May,839.5732229045259
5,Jun,898.8513672610225
6,Jul,923.1929325672821
7,Aug,903.8985817049172
8,Sep,846.6265796970217
9,Oct,772.3691968403285
10,Nov,727.3383830140556
11,Dec,716.069347690672
