,time_counter,fco2
0,Jan,-243.079341897079
1,Feb,-238.4200505053967
2,Mar,-242.90533005118908
3,Apr,-268.90897471467804
4,May,-300.80680680094173
5,Jun,-340.31733068871847
6,Jul,-369.3055855318
7,Aug,-365.4974875026957
8,Sep,-328.9211243178277
9,Oct,-315.88472506992457
10,Nov,-283.18402890618484
11,Dec,-258.1936841371171
