,time_counter,fco2
0,Jan,689.1219133867496
1,Feb,689.9443028089376
2,Mar,687.736506424821
3,Apr,680.2491683374876
4,May,682.9277031581748
5,Jun,709.9115136401072
6,Jul,735.5938280414036
7,Aug,733.8430989364784
8,Sep,719.2802076840183
9,Oct,705.0353683725017
10,Nov,695.9279935537745
11,Dec,693.7508879290835
