,time_counter,fco2
0,Jan,-38.18197276029656
1,Feb,-37.70697327087578
2,Mar,-38.5272115411521
3,Apr,-42.25952514788577
4,May,-44.84418032242314
5,Jun,-52.88938193460535
6,Jul,-58.15940912851789
7,Aug,-56.56943648586213
8,Sep,-53.533355246688814
9,Oct,-50.57197510283112
10,Nov,-44.83655038276345
11,Dec,-40.46091085596004
