,time_counter,time,ALK
0,Jan,0.0,1605.5357468378718
1,Feb,0.0,1636.2465795214657
2,Mar,0.0,1748.4875409876324
3,Apr,0.0,1827.6896516445772
4,May,0.0,1557.1643939371722
5,Jun,0.0,1496.2970714676758
6,Jul,0.0,1479.6109560089135
7,Aug,0.0,1808.6878457177445
8,Sep,0.0,1747.4283791991122
9,Oct,0.0,1554.8943013230914
10,Nov,0.0,1560.6791626440386
11,Dec,0.0,1575.922578342715
