,time_counter,time,ALK
0,Jan,0.0,2030.5977076341776
1,Feb,0.0,2028.9743111892535
2,Mar,0.0,2008.3738298452404
3,Apr,0.0,1945.2479059917023
4,May,0.0,1798.9554736800424
5,Jun,0.0,1615.2526969168757
6,Jul,0.0,1602.1465713596906
7,Aug,0.0,1666.591481850965
8,Sep,0.0,1837.3612254367458
9,Oct,0.0,1964.098670200116
10,Nov,0.0,2002.7783182037751
11,Dec,0.0,2020.337238523467
