,time_counter,time,ALK
0,Jan,0.0,2137.3079820771745
1,Feb,0.0,2131.661349218464
2,Mar,0.0,2115.2910347880315
3,Apr,0.0,2038.3111721831824
4,May,0.0,1893.1637782972944
5,Jun,0.0,1719.3473991812546
6,Jul,0.0,1703.597537039277
7,Aug,0.0,1768.135591228916
8,Sep,0.0,1945.904483326674
9,Oct,0.0,2078.2833591694357
10,Nov,0.0,2117.78211593128
11,Dec,0.0,2130.697197927195
