,time_counter,dic
0,Jan,253.36641605455338
1,Feb,302.1093452421255
2,Mar,389.6236915564018
3,Apr,27.408255622783372
4,May,263.32295462963884
5,Jun,244.67468152520132
6,Jul,489.5570735081435
7,Aug,256.38045584608517
8,Sep,331.5738377524581
9,Oct,288.3199424101015
10,Nov,273.86585620180153
11,Dec,281.55197671746896
