,time_counter,time,DIC
0,Jan,0.0,2032.8310701708294
1,Feb,0.0,2030.309640774492
2,Mar,0.0,2015.5487236144577
3,Apr,0.0,1939.6577013418319
4,May,0.0,1797.107779535274
5,Jun,0.0,1625.205455915729
6,Jul,0.0,1604.7280680302406
7,Aug,0.0,1662.8499207293128
8,Sep,0.0,1831.4632904377872
9,Oct,0.0,1960.7583431636551
10,Nov,0.0,2004.1923395386143
11,Dec,0.0,2022.988849141119
