,time_counter,time,DIC
0,Jan,0.0,1502.1675050846984
1,Feb,0.0,1510.2434984254012
2,Mar,0.0,1576.0314498514294
3,Apr,0.0,1794.406351195387
4,May,0.0,1521.564301017515
5,Jun,0.0,1405.072120656973
6,Jul,0.0,1362.929610251629
7,Aug,0.0,1753.2543932244043
8,Sep,0.0,1537.7753769625895
9,Oct,0.0,1455.9961230714364
10,Nov,0.0,1462.222839288722
11,Dec,0.0,1472.456800487825
