,time_counter,time,DIC
0,Jan,0.0,1898.986737070595
1,Feb,0.0,1902.2927170015187
2,Mar,0.0,1883.2966131309008
3,Apr,0.0,1830.0947529715336
4,May,0.0,1708.0934604856552
5,Jun,0.0,1555.2238273486432
6,Jul,0.0,1508.7285042682684
7,Aug,0.0,1588.0989414151368
8,Sep,0.0,1728.7516257419684
9,Oct,0.0,1833.4003425041792
10,Nov,0.0,1869.236887772468
11,Dec,0.0,1888.9484685898892
