,time_counter,time,DIC
0,Jan,0.0,1917.6841944116854
1,Feb,0.0,1900.3734139269782
2,Mar,0.0,2036.5022933772707
3,Apr,0.0,2192.374774343233
4,May,0.0,1787.3098460439546
5,Jun,0.0,1810.4884799456165
6,Jul,0.0,1806.857160727627
7,Aug,0.0,1923.571585838336
8,Sep,0.0,2084.7330041841606
9,Oct,0.0,1943.0709628842596
10,Nov,0.0,1950.0381263701627
11,Dec,0.0,1923.2862271006336
