,time_counter,time,ALK
0,Jan,0.0,2057.296700953752
1,Feb,0.0,2058.564247178342
2,Mar,0.0,2037.621170478436
3,Apr,0.0,1981.9698760169485
4,May,0.0,1856.836968883587
5,Jun,0.0,1696.6097131254057
6,Jul,0.0,1648.787746515543
7,Aug,0.0,1736.453282804089
8,Sep,0.0,1889.4002434946583
9,Oct,0.0,2000.3968459318207
10,Nov,0.0,2034.7797519196997
11,Dec,0.0,2051.0043065703862
