,time_counter,dic
0,Jan,526.3567240955754
1,Feb,487.45220151861395
2,Mar,464.25434234637805
3,Apr,486.40106701325385
4,May,498.5509986284087
5,Jun,510.39083498432865
6,Jul,544.5476404868446
7,Aug,579.7791989136426
8,Sep,624.7697386319192
9,Oct,651.1932209364277
10,Nov,644.1566419609594
11,Dec,587.19572793528
