,time_counter,time,deptht,DIC
0,Jan,0.0,51.94513,2154.9117600367613
1,Feb,0.0,51.94513,2158.7372862108123
2,Mar,0.0,51.94513,2158.872935097625
3,Apr,0.0,51.94513,2155.152323959256
4,May,0.0,51.94513,2147.5401080887996
5,Jun,0.0,51.94513,2139.6297539109614
6,Jul,0.0,51.94513,2135.423278955135
7,Aug,0.0,51.94513,2133.0854591651705
8,Sep,0.0,51.94513,2133.0944102499025
9,Oct,0.0,51.94513,2136.1344481667284
10,Nov,0.0,51.94513,2140.87771971725
11,Dec,0.0,51.94513,2147.611732934142
