,time_counter,time,deptht,DIC
0,Jan,0.0,51.94513,2088.9882905985473
1,Feb,0.0,51.94513,2093.498629963252
2,Mar,0.0,51.94513,2094.919060488755
3,Apr,0.0,51.94513,2091.978197787084
4,May,0.0,51.94513,2083.101848027372
5,Jun,0.0,51.94513,2074.9423703648854
6,Jul,0.0,51.94513,2069.6484736419
7,Aug,0.0,51.94513,2066.239197026093
8,Sep,0.0,51.94513,2065.2556972991324
9,Oct,0.0,51.94513,2068.307527481829
10,Nov,0.0,51.94513,2073.901263809557
11,Dec,0.0,51.94513,2081.9105261010154
