,time_counter,time,deptht,ALK
0,Jan,0.0,51.94513,2263.247558968479
1,Feb,0.0,51.94513,2265.5343775516876
2,Mar,0.0,51.94513,2266.804228165643
3,Apr,0.0,51.94513,2266.290870741147
4,May,0.0,51.94513,2264.1713950318867
5,Jun,0.0,51.94513,2261.7091520394624
6,Jul,0.0,51.94513,2259.208375527123
7,Aug,0.0,51.94513,2257.211152346027
8,Sep,0.0,51.94513,2256.2028766795024
9,Oct,0.0,51.94513,2256.538680073267
10,Nov,0.0,51.94513,2257.6804377550698
11,Dec,0.0,51.94513,2260.679497820499
