,time_counter,alk
0,Jan,814.7748763929058
1,Feb,734.9971444432445
2,Mar,706.4623444329568
3,Apr,763.3490399626271
4,May,813.9248980253383
5,Jun,872.2839000218432
6,Jul,954.8140552880523
7,Aug,1022.7245899493314
8,Sep,1082.0235710491543
9,Oct,1089.5679635156666
10,Nov,1075.1388022772026
11,Dec,934.2942126542275
