,time_counter,time,deptht,ALK
0,Jan,0.0,51.94513,2371.8181611312298
1,Feb,0.0,51.94513,2371.9521324840825
2,Mar,0.0,51.94513,2371.4946114195413
3,Apr,0.0,51.94513,2371.2251308947302
4,May,0.0,51.94513,2371.9416953112705
5,Jun,0.0,51.94513,2372.7229070909025
6,Jul,0.0,51.94513,2374.075701789242
7,Aug,0.0,51.94513,2375.0856474106927
8,Sep,0.0,51.94513,2375.699374316394
9,Oct,0.0,51.94513,2374.6407919540293
10,Nov,0.0,51.94513,2372.2042505579184
11,Dec,0.0,51.94513,2370.90118185455
